É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/08/16 05:18:48

,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ
2019/9/29,24.6,8,1,0.0,0,8,1,,0,1,1.7,8,1,75,8,1,,0,1
2019/9/30,25.0,8,1,0,1,8,1,,0,1,2.1,8,1,68,8,1,,0,1
2019/10/1,24.3,8,1,0,1,8,1,,0,1,1.6,8,1,68,8,1,,0,1
2019/10/2,24.4,8,1,0,1,8,1,,0,1,1.8,8,1,64,8,1,,0,1
2019/10/3,23.5,8,1,0.0,0,8,1,,0,1,2.2,8,1,74,8,1,,0,1
2019/10/4,24.6,8,1,1.5,0,8,1,,0,1,2.8,8,1,77,8,1,,0,1
2019/10/5,26.1,8,1,0.0,0,8,1,,0,1,3.8,8,1,54,8,1,,0,1
2019/10/6,20.6,8,1,1.5,0,8,1,,0,1,2.6,8,1,82,8,1,,0,1
2019/10/7,20.4,8,1,8.5,0,8,1,,0,1,1.8,8,1,73,8,1,,0,1
2019/10/8,20.3,8,1,1.0,0,8,1,,0,1,1.5,8,1,85,8,1,,0,1
2019/10/9,19.7,8,1,0,1,8,1,,0,1,3.8,8,1,49,8,1,,0,1
2019/10/10,19.4,8,1,0.0,0,8,1,,0,1,2.0,8,1,65,8,1,,0,1
2019/10/11,20.2,8,1,6.5,0,8,1,,0,1,1.4,8,1,92,8,1,,0,1
2019/10/12,22.6,8,1,250.0,0,8,1,,0,1,7.3,8,1,95,8,1,,0,1
2019/10/13,23.1,8,1,0,1,8,1,,0,1,4.8,8,1,53,8,1,,0,1
2019/10/14,17.4,8,1,6.5,0,8,1,,0,1,1.5,8,1,76,8,1,,0,1
2019/10/15,17.8,8,1,2.0,0,8,1,,0,1,2.6,8,1,78,8,1,,0,1
2019/10/16,15.9,8,1,0,1,8,1,,0,1,1.4,8,1,71,8,1,,0,1
2019/10/17,16.0,8,1,0.5,0,8,1,,0,1,1.6,8,1,83,8,1,,0,1
2019/10/18,16.2,8,1,10.5,0,8,1,,0,1,1.5,8,1,90,8,1,,0,1
2019/10/19,18.1,8,1,18.5,0,8,1,,0,1,1.8,8,1,94,8,1,,0,1
2019/10/20,20.7,8,1,0.0,0,8,1,,0,1,2.4,8,1,77,8,1,,0,1
2019/10/21,18.6,8,1,4.5,0,8,1,,0,1,1.6,8,1,77,8,1,,0,1
2019/10/22,16.0,8,1,49.0,0,8,1,,0,1,1.8,8,1,96,8,1,,0,1
2019/10/23,18.1,8,1,0,1,8,1,,0,1,2.0,8,1,78,8,1,,0,1
2019/10/24,17.4,8,1,0.0,0,8,1,,0,1,1.9,8,1,81,8,1,,0,1
2019/10/25,15.1,8,1,80.0,0,8,1,,0,1,2.9,8,1,95,8,1,,0,1
2019/10/26,20.4,8,1,0,1,8,1,,0,1,3.6,8,1,63,8,1,,0,1
2019/10/27,17.6,8,1,0.0,0,8,1,,0,1,1.8,8,1,75,8,1,,0,1
2019/10/28,16.5,8,1,0,1,8,1,,0,1,1.9,8,1,66,8,1,,0,1
2019/10/29,14.0,8,1,7.0,0,8,1,,0,1,1.3,8,1,92,8,1,,0,1
2019/10/30,15.3,8,1,0,1,8,1,,0,1,1.3,8,1,85,8,1,,0,1
2019/10/31,16.3,8,1,0,1,8,1,,0,1,1.2,8,1,82,8,1,,0,1
2019/11/1,17.3,8,1,0,1,8,1,,0,1,2.9,8,1,61,8,1,,0,1
2019/11/2,14.3,8,1,0,1,8,1,,0,1,1.9,8,1,61,8,1,,0,1
2019/11/3,14.8,8,1,0.5,0,8,1,,0,1,1.6,8,1,74,8,1,,0,1
2019/11/4,14.5,8,1,0.0,0,8,1,,0,1,2.6,8,1,63,8,1,,0,1
2019/11/5,13.3,8,1,0,1,8,1,,0,1,2.5,8,1,57,8,1,,0,1
2019/11/6,14.0,8,1,0,1,8,1,,0,1,2.1,5,1,60,8,1,,0,1
2019/11/7,13.9,8,1,0,1,8,1,,0,1,2.0,8,1,65,8,1,,0,1
2019/11/8,14.8,8,1,0,1,8,1,,0,1,3.5,8,1,52,8,1,,0,1
2019/11/9,12.4,8,1,0,1,8,1,,0,1,1.3,8,1,66,8,1,,0,1
2019/11/10,13.4,8,1,0.0,0,8,1,,0,1,2.2,8,1,63,8,1,,0,1
2019/11/11,12.3,8,1,3.0,0,8,1,,0,1,1.4,8,1,88,8,1,,0,1
2019/11/12,14.9,8,1,0,1,8,1,,0,1,3.9,8,1,57,8,1,,0,1
2019/11/13,11.9,8,1,0.0,0,8,1,,0,1,1.4,8,1,60,8,1,,0,1
2019/11/14,13.8,8,1,0.0,0,8,1,,0,1,3.1,8,1,60,8,1,,0,1
2019/11/15,11.5,8,1,0,1,8,1,,0,1,2.1,8,1,61,8,1,,0,1
2019/11/16,11.3,8,1,0,1,8,1,,0,1,1.4,8,1,66,8,1,,0,1
2019/11/17,12.7,8,1,0,1,8,1,,0,1,2.9,8,1,55,8,1,,0,1
2019/11/18,12.3,8,1,0.0,0,8,1,,0,1,1.5,8,1,68,8,1,,0,1
2019/11/19,14.7,8,1,1.0,0,8,1,,0,1,2.5,8,1,63,8,1,,0,1
2019/11/20,10.2,8,1,0,1,8,1,,0,1,4.9,8,1,47,8,1,,0,1
2019/11/21,9.4,8,1,0,1,8,1,,0,1,3.0,8,1,54,8,1,,0,1
2019/11/22,6.9,8,1,35.0,0,8,1,,0,1,2.0,8,1,86,8,1,,0,1
2019/11/23,11.5,8,1,29.5,0,8,1,,0,1,2.2,8,1,99,8,1,,0,1
2019/11/24,16.4,8,1,14.5,0,8,1,,0,1,2.0,8,1,95,8,1,,0,1
2019/11/25,16.2,8,1,0.0,0,8,1,,0,1,2.3,8,1,78,8,1,,0,1
2019/11/26,8.7,8,1,1.0,0,8,1,,0,1,2.2,8,1,82,8,1,,0,1
2019/11/27,9.9,8,1,0.0,0,8,1,,0,1,1.5,8,1,80,8,1,,0,1
2019/11/28,8.9,8,1,0.0,0,8,1,,0,1,3.2,8,1,62,8,1,,0,1
2019/11/29,5.3,8,1,0,1,8,1,,0,1,2.4,8,1,56,8,1,,0,1
2019/11/30,6.4,8,1,0,1,8,1,,0,1,2.4,8,1,61,8,1,,0,1
2019/12/1,5.9,8,1,0,1,8,1,,0,1,1.5,8,1,71,8,1,,0,1
2019/12/2,8.7,8,1,0.0,0,8,1,,0,1,1.6,8,1,79,8,1,,0,1
2019/12/3,11.7,8,1,0,1,8,1,,0,1,3.9,8,1,47,8,1,,0,1
2019/12/4,9.8,8,1,0,1,8,1,,0,1,3.0,8,1,47,8,1,,0,1
2019/12/5,8.6,8,1,0,1,8,1,,0,1,2.4,8,1,51,8,1,,0,1
2019/12/6,6.7,8,1,0,1,8,1,,0,1,2.4,8,1,52,8,1,,0,1
2019/12/7,4.8,8,1,0,1,8,1,,0,1,1.1,8,1,67,8,1,,0,1
2019/12/8,7.9,8,1,0,1,8,1,,0,1,3.6,8,1,52,8,1,,0,1
2019/12/9,4.7,8,1,0.0,0,8,1,,0,1,1.5,8,1,71,8,1,,0,1
2019/12/10,10.4,8,1,0.0,0,8,1,,0,1,1.3,8,1,76,8,1,,0,1
2019/12/11,10.6,8,1,0,1,8,1,,0,1,1.5,8,1,82,8,1,,0,1
2019/12/12,10.1,8,1,0,1,8,1,,0,1,4.1,8,1,60,8,1,,0,1
2019/12/13,6.0,8,1,0,1,8,1,,0,1,3.0,8,1,55,8,1,,0,1
2019/12/14,7.2,8,1,0,1,8,1,,0,1,1.9,8,1,60,8,1,,0,1
2019/12/15,7.5,8,1,0,1,8,1,,0,1,4.2,8,1,48,8,1,,0,1
2019/12/16,5.5,8,1,0,1,8,1,,0,1,1.7,8,1,64,8,1,,0,1
2019/12/17,6.6,5,1,2.0,0,8,1,,0,1,1.6,5,1,83,5,1,,0,1
2019/12/18,9.5,8,1,0,1,8,1,,0,1,3.0,8,1,73,8,1,,0,1
2019/12/19,8.2,8,1,0.0,0,8,1,,0,1,1.9,8,1,70,8,1,,0,1
2019/12/20,10.0,8,1,0.0,0,8,1,,0,1,2.7,8,1,60,8,1,,0,1
2019/12/21,7.1,8,1,0.0,0,8,1,,0,1,1.3,8,1,73,8,1,,0,1
2019/12/22,5.8,8,1,9.5,0,8,1,,0,1,1.3,8,1,85,8,1,,0,1
2019/12/23,6.7,8,1,8.5,0,8,1,,0,1,1.8,8,1,82,8,1,,0,1
2019/12/24,7.5,8,1,0,1,8,1,,0,1,5.1,8,1,52,8,1,,0,1
2019/12/25,4.6,8,1,0,1,8,1,,0,1,1.8,8,1,62,8,1,,0,1
2019/12/26,6.0,8,1,0.0,0,8,1,,0,1,1.5,8,1,76,8,1,,0,1
2019/12/27,7.6,8,1,0.0,0,8,1,,0,1,4.5,8,1,74,8,1,,0,1
2019/12/28,5.8,8,1,0,1,8,1,,0,1,4.3,8,1,51,8,1,,0,1
2019/12/29,5.2,8,1,0,1,8,1,,0,1,2.0,8,1,56,8,1,,0,1
2019/12/30,5.7,8,1,0.0,0,8,1,,0,1,2.0,8,1,75,8,1,,0,1
2019/12/31,5.3,8,1,0,1,8,1,,0,1,4.3,8,1,67,8,1,,0,1
